video_path	text_description	split
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/0.mp4	juicy crunches of the apple being bitten into and chewed on.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/1.mp4	creamy sound of mashed potatoes being scooped.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/2.mp4	the slurping of noodles as the man eats with gusto, and the soft clinking of the fork against the plate as the man twirls the noodles.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/3.mp4	ice cubes clinking against the glass.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/4.mp4	peoples' footsteps and the gentle hum of the city in the background.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/5.mp4	the slurping and smacking of the child's tongue on the ice pop.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/6.mp4	a cat's gentle slurping and lapping sounds.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/7.mp4	dog's tongue lapping against the bowl.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/8.mp4	boy's tongue darts out and licks the cone with a slight slurping sound.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/9.mp4	straw sucking sounds with slurping noises.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/10.mp4	gentle sucking sounds from the pacifier.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/11.mp4	ice clinking in a glass, and a refreshing drink being sucked through a straw.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/12.mp4	soft gurgling sound of water being sipped.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/13.mp4	sound of noodle broth dripping back into soup, accompanied by gentle slurping and chewing.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/14.mp4	A sweet, satisfying slurp as the person drinks.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/15.mp4	slurping sounds of the spaghetti being devoured.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/16.mp4	ragged breathing with tiny gasps.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/17.mp4	wailing sounds carried away by the wind, and waves crash softly in the distance.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/18.mp4	the newborn baby's soft coos and whimpers, accompanied by the mother's heavy breathing and sniffling.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/19.mp4	person's laughter echoes through the room, body shaking with amusement.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/20.mp4	the group's laughter grows louder and more intense, with snorts and gasps for air.	test
/cm/archive/thanhtvt1/MovieGenAudioBenchSfx/video_with_audio/21.mp4	gritting teeth and heavy breaths are heard in the deserted alley, as a person walks.	test
